date,s_af,r_cfs,i_cfs
2015-01-01,1000900,NA,-3
2015-01-02,1001840,NA,610
2015-01-03,1001690,NA,60
2015-01-04,1001840,NA,218
2015-01-05,1001690,NA,54
2015-01-06,1002160,NA,353
2015-01-07,1002160,NA,139
2015-01-08,1002630,NA,359
2015-01-09,1001690,NA,-327
2015-01-10,1002470,NA,541
2015-01-11,1002160,NA,-16
2015-01-12,1002160,NA,147
2015-01-13,1002e3,NA,42
2015-01-14,1001690,NA,-43
2015-01-15,1002630,NA,589
2015-01-16,1002310,NA,-61
2015-01-17,1002e3,NA,5
2015-01-18,1001220,NA,-203
2015-01-19,1002e3,NA,573
2015-01-20,1002e3,NA,161
2015-01-21,1001840,NA,58
2015-01-22,1001060,NA,-252
2015-01-23,1001060,NA,132
2015-01-24,1000430,NA,-173
2015-01-25,1000430,NA,143
2015-01-26,1000590,NA,216
2015-01-27,1000900,NA,303
2015-01-28,1000750,NA,49
2015-01-29,1000750,NA,135
2015-01-30,1000750,NA,137
2015-01-31,1000280,NA,-89
2015-02-01,1000430,NA,259
2015-02-02,999807,NA,-169
2015-02-03,999807,NA,115
2015-02-04,999180,NA,-208
2015-02-05,998711,NA,-145
2015-02-06,1007180,NA,4338
2015-02-07,1027210,NA,10161
2015-02-08,1036890,NA,4979
2015-02-09,1048370,NA,5851
2015-02-10,1052680,NA,2273
2015-02-11,1054610,NA,1037
2015-02-12,1056050,NA,821
2015-02-13,1057330,NA,747
2015-02-14,1058130,NA,535
2015-02-15,1058940,NA,515
2015-02-16,1059420,NA,364
2015-02-17,1060220,NA,515
2015-02-18,1060220,NA,113
2015-02-19,1060700,NA,380
2015-02-20,1061020,NA,295
2015-02-21,1060860,NA,45
2015-02-22,1062630,NA,1017
2015-02-23,1060860,NA,-733
2015-02-24,1061340,NA,385
2015-02-25,1061340,NA,132
2015-02-26,1062150,NA,503
2015-02-27,1061500,NA,-203
2015-02-28,1061660,NA,197
2015-03-01,1061660,NA,151
2015-03-02,1061660,NA,140
2015-03-03,1061660,NA,123
2015-03-04,1061660,NA,149
2015-03-05,1061660,NA,164
2015-03-06,1061660,NA,153
2015-03-07,1061660,NA,164
2015-03-08,1061500,NA,83
2015-03-09,1061500,NA,159
2015-03-10,1061340,NA,67
2015-03-11,1061020,NA,-3
2015-03-12,1061180,NA,223
2015-03-13,1061180,NA,176
2015-03-14,1061340,NA,228
2015-03-15,1060860,NA,-93
2015-03-16,1060860,NA,161
2015-03-17,1060860,NA,140
2015-03-18,1060540,NA,33
2015-03-19,1060380,NA,179
2015-03-20,1060060,NA,139
2015-03-21,1059580,NA,148
2015-03-22,1058940,NA,108
2015-03-23,1058130,NA,50
2015-03-24,1057170,NA,100
2015-03-25,1056210,NA,50
2015-03-26,1055570,NA,175
2015-03-27,1054770,NA,93
2015-03-28,1053810,NA,41
2015-03-29,1053160,NA,179
2015-03-30,1052520,NA,193
2015-03-31,1051080,NA,-169
2015-04-01,1050120,NA,116
2015-04-02,1049010,NA,46
2015-04-03,1048050,NA,108
2015-04-04,1047090,NA,41
2015-04-05,1045810,NA,-106
2015-04-06,1044700,NA,-96
2015-04-07,1045170,NA,598
2015-04-08,1044700,NA,98
2015-04-09,1044220,NA,47
2015-04-10,1043740,NA,46
2015-04-11,1043100,NA,11
2015-04-12,1042300,NA,-64
2015-04-13,1041820,NA,109
2015-04-14,1041190,NA,71
2015-04-15,1039600,NA,-396
2015-04-16,1038640,NA,-73
2015-04-17,1038e3,NA,148
2015-04-18,1037050,NA,-22
2015-04-19,1036410,NA,164
2015-04-20,1035940,NA,250
2015-04-21,1034820,NA,-97
2015-04-22,1034190,NA,159
2015-04-23,1033710,NA,239
2015-04-24,1032440,NA,-147
2015-04-25,1031970,NA,266
2015-04-26,1030220,NA,-349
2015-04-27,1029270,NA,54
2015-04-28,1028320,NA,89
2015-04-29,1027370,NA,113
2015-04-30,1026580,NA,140
2015-05-01,1025630,NA,114
2015-05-02,1024520,NA,3
2015-05-03,1023410,NA,-19
2015-05-04,1022300,NA,-22
2015-05-05,1021200,NA,-42
2015-05-06,1020410,NA,166
2015-05-07,1018670,NA,-278
2015-05-08,1017880,NA,205
2015-05-09,1016620,NA,-77
2015-05-10,1015360,NA,-76
2015-05-11,1014410,NA,64
2015-05-12,1013150,NA,-73
2015-05-13,1012050,NA,45
2015-05-14,1011420,NA,278
2015-05-15,1010010,NA,-181
2015-05-16,1008750,NA,0
2015-05-17,1007650,NA,57
2015-05-18,1006390,NA,-51
2015-05-19,1005290,NA,112
2015-05-20,1004040,NA,12
2015-05-21,1002940,NA,57
2015-05-22,1001690,NA,-33
2015-05-23,1000590,NA,28
2015-05-24,999337,NA,-76
2015-05-25,998398,NA,117
2015-05-26,997146,NA,-53
2015-05-27,996208,NA,139
2015-05-28,995114,NA,82
2015-05-29,993708,NA,-37
2015-05-30,992458,NA,65
2015-05-31,990898,NA,-113
2015-06-01,989806,NA,91
2015-06-02,988714,NA,58
2015-06-03,987468,NA,-10
2015-06-04,986377,NA,88
2015-06-05,984510,NA,-309
2015-06-06,983732,NA,297
2015-06-07,982488,NA,93
2015-06-08,981089,NA,19
2015-06-09,979380,NA,-79
2015-06-10,978139,NA,223
2015-06-11,977053,NA,105
2015-06-12,975657,NA,36
2015-06-13,974262,NA,87
2015-06-14,972869,NA,29
2015-06-15,971630,NA,69
2015-06-16,969929,NA,-165
2015-06-17,968847,NA,163
2015-06-18,967302,NA,-40
2015-06-19,965912,NA,105
2015-06-20,964369,NA,-22
2015-06-21,962673,NA,-113
2015-06-22,961286,NA,80
2015-06-23,959900,NA,43
2015-06-24,958515,NA,143
2015-06-25,956516,NA,-136
2015-06-26,955286,NA,282
2015-06-27,953290,NA,-55
2015-06-28,951756,NA,67
2015-06-29,950376,NA,141
2015-06-30,948997,NA,111
2015-07-01,947618,NA,89
2015-07-02,946088,NA,1
2015-07-03,944406,NA,-44
2015-07-04,943030,NA,11
2015-07-05,941503,NA,-18
2015-07-06,939672,NA,-199
2015-07-07,938453,NA,113
2015-07-08,936472,NA,-276
2015-07-09,935254,NA,74
2015-07-10,934036,NA,4
2015-07-11,932364,NA,-199
2015-07-12,931148,NA,66
2015-07-13,929781,NA,36
2015-07-14,928263,NA,-18
2015-07-15,926595,NA,-89
2015-07-16,925231,NA,67
2015-07-17,923414,NA,-91
2015-07-18,921901,NA,43
2015-07-19,919936,NA,-213
2015-07-20,919029,NA,239
2015-07-21,917368,NA,-87
2015-07-22,915860,NA,-26
2015-07-23,914353,NA,-109
2015-07-24,913147,NA,5
2015-07-25,911793,NA,-26
2015-07-26,910589,NA,65
2015-07-27,908786,NA,-184
2015-07-28,907434,NA,68
2015-07-29,906083,NA,92
2015-07-30,904733,NA,68
2015-07-31,903385,NA,21
2015-08-01,901587,NA,-298
2015-08-02,900690,NA,167
2015-08-03,899194,NA,-149
2015-08-04,898148,NA,87
2015-08-05,896804,NA,-123
2015-08-06,896206,NA,245
2015-08-07,894416,NA,-329
2015-08-08,893372,NA,78
2015-08-09,892180,NA,-46
2015-08-10,890989,NA,-9
2015-08-11,889501,NA,-144
2015-08-12,888460,NA,80
2015-08-13,887271,NA,-10
2015-08-14,885934,NA,-75
2015-08-15,884746,NA,-8
2015-08-16,883708,NA,68
2015-08-17,882521,NA,7
2015-08-18,881336,NA,38
2015-08-19,879855,NA,-116
2015-08-20,878819,NA,69
2015-08-21,877488,NA,-144
2015-08-22,876453,NA,-13
2015-08-23,875418,NA,-61
2015-08-24,874385,NA,-57
2015-08-25,873647,NA,180
2015-08-26,872172,NA,-226
2015-08-27,871287,NA,67
2015-08-28,870108,NA,-74
2015-08-29,869077,NA,43
2015-08-30,867900,NA,-83
2015-08-31,867017,NA,13
2015-09-01,865841,NA,-86
2015-09-02,864812,NA,-19
2015-09-03,863784,NA,3
2015-09-04,862610,NA,-107
2015-09-05,861436,NA,-126
2015-09-06,860703,NA,87
2015-09-07,859531,NA,-106
2015-09-08,858799,NA,112
2015-09-09,857482,NA,-110
2015-09-10,856604,NA,137
2015-09-11,855434,NA,27
2015-09-12,853828,NA,-196
2015-09-13,853098,NA,144
2015-09-14,852222,NA,57
2015-09-15,851493,NA,92
2015-09-16,850035,NA,-253
2015-09-17,849016,NA,-142
2015-09-18,848288,NA,74
2015-09-19,847561,NA,54
2015-09-20,846833,NA,44
2015-09-21,846106,NA,55
2015-09-22,845525,NA,139
2015-09-23,844363,NA,-154
2015-09-24,843202,NA,-194
2015-09-25,842621,NA,88
2015-09-26,841896,NA,65
2015-09-27,840882,NA,-117
2015-09-28,840157,NA,0
2015-09-29,839723,NA,155
2015-09-30,838709,NA,-146
2015-10-01,838420,NA,191
2015-10-02,837841,NA,2
2015-10-03,837841,NA,324
2015-10-04,835961,NA,-673
2015-10-05,835817,NA,242
2015-10-06,834950,NA,-107
2015-10-07,834372,NA,26
2015-10-08,833795,NA,19
2015-10-09,833218,NA,2
2015-10-10,832641,NA,40
2015-10-11,831775,NA,-76
2015-10-12,831343,NA,128
2015-10-13,830622,NA,-49
2015-10-14,830190,NA,91
2015-10-15,829902,NA,23
2015-10-16,829758,NA,51
2015-10-17,828894,NA,-312
2015-10-18,829326,NA,314
2015-10-19,828462,NA,-382
2015-10-20,828319,NA,15
2015-10-21,828175,NA,68
2015-10-22,827887,NA,-6
2015-10-23,827743,NA,43
2015-10-24,827312,NA,-92
2015-10-25,827024,NA,-32
2015-10-26,826880,NA,68
2015-10-27,826736,NA,59
2015-10-28,826018,NA,-249
2015-10-29,825874,NA,40
2015-10-30,825299,NA,-145
2015-10-31,824438,NA,-279
2015-11-01,825012,NA,438
2015-11-02,825587,NA,394
2015-11-03,824725,NA,-345
2015-11-04,824725,NA,117
2015-11-05,824438,NA,-11
2015-11-06,824151,NA,-18
2015-11-07,823863,NA,-13
2015-11-08,823863,NA,123
2015-11-09,823720,NA,11
2015-11-10,823146,NA,-210
2015-11-11,822859,NA,-52
2015-11-12,822859,NA,113
2015-11-13,822429,NA,-109
2015-11-14,822142,NA,-28
2015-11-15,821999,NA,59
2015-11-16,820995,NA,-325
2015-11-17,820709,NA,41
2015-11-18,820995,NA,325
2015-11-19,820852,NA,86
2015-11-20,820565,NA,-10
2015-11-21,820279,NA,-26
2015-11-22,819849,NA,-47
2015-11-23,819563,NA,-4
2015-11-24,819420,NA,66
2015-11-25,818847,NA,-142
2015-11-26,818990,NA,206
2015-11-27,817988,NA,-358
2015-11-28,817845,NA,80
2015-11-29,817130,NA,-222
2015-11-30,816987,NA,52
2015-12-01,816273,NA,-237
2015-12-02,816416,NA,221
2015-12-03,816273,NA,72
2015-12-04,816559,NA,278
2015-12-05,816273,NA,-14
2015-12-06,816130,NA,38
2015-12-07,815844,NA,-23
2015-12-08,815130,NA,-231
2015-12-09,814987,NA,48
2015-12-10,816701,NA,989
2015-12-11,815987,NA,-214
2015-12-12,815273,NA,-206
2015-12-13,817559,NA,1282
2015-12-14,817988,NA,350
2015-12-15,817988,NA,144
2015-12-16,817845,NA,95
2015-12-17,817559,NA,-5
2015-12-18,818418,NA,567
2015-12-19,818132,NA,-24
2015-12-20,817988,NA,68
2015-12-21,820995,NA,1645
2015-12-22,822716,NA,983
2015-12-23,823720,NA,685
2015-12-24,823576,NA,74
2015-12-25,824007,NA,346
2015-12-26,823576,NA,-83
2015-12-27,822716,NA,-276
2015-12-28,823720,NA,635
2015-12-29,823290,NA,-92
2015-12-30,821425,NA,-815
2015-12-31,821569,NA,191
2016-01-01,820852,NA,-219
2016-01-02,820565,NA,-3
2016-01-03,820709,NA,204
2016-01-04,819992,NA,-240
2016-01-05,823146,NA,1701
2016-01-06,828894,NA,2992
2016-01-07,832064,NA,1710
2016-01-08,832496,NA,362
2016-01-09,833218,NA,491
2016-01-10,833795,NA,426
2016-01-11,834372,NA,419
2016-01-12,834372,NA,112
2016-01-13,837262,NA,1568
2016-01-14,837841,NA,424
2016-01-15,840737,NA,1585
2016-01-16,842767,NA,1134
2016-01-17,848288,NA,2894
2016-01-18,858799,NA,5399
2016-01-19,868635,NA,5039
2016-01-20,873352,NA,2614
2016-01-21,875418,NA,1175
2016-01-22,877488,NA,1170
2016-01-23,882077,NA,2423
2016-01-24,884153,NA,1152
2016-01-25,885785,NA,962
2016-01-26,886528,NA,490
2016-01-27,887717,NA,720
2016-01-28,888460,NA,502
2016-01-29,889798,NA,791
2016-01-30,890691,NA,560
2016-01-31,891733,NA,652
2016-02-01,891585,NA,97
2016-02-02,891733,NA,243
2016-02-03,891733,NA,130
2016-02-04,892478,NA,506
2016-02-05,892627,NA,214
2016-02-06,892925,NA,289
2016-02-07,892478,NA,-86
2016-02-08,893074,NA,477
2016-02-09,893074,NA,163
2016-02-10,893521,NA,362
2016-02-11,893372,NA,59
2016-02-12,893521,NA,204
2016-02-13,893521,NA,129
2016-02-14,893670,NA,214
2016-02-15,893820,NA,229
2016-02-16,893969,NA,266
2016-02-17,895759,NA,1055
2016-02-18,895162,NA,-186
2016-02-19,895609,NA,350
2016-02-20,896804,NA,732
2016-02-21,897401,NA,445
2016-02-22,897700,NA,300
2016-02-23,897849,NA,238
2016-02-24,897998,NA,229
2016-02-25,897998,NA,156
2016-02-26,897998,NA,148
2016-02-27,898148,NA,234
2016-02-28,898297,NA,226
2016-02-29,897998,NA,10
2016-03-01,897998,NA,187
2016-03-02,897998,NA,197
2016-03-03,898297,NA,328
2016-03-04,898148,NA,61
2016-03-05,NA,NA,NA
2016-03-06,NA,NA,NA
2016-03-07,NA,NA,NA
2016-03-08,938757,NA,1877
2016-03-09,940588,NA,1012
2016-03-10,953137,NA,6436
2016-03-11,973178,NA,10193
2016-03-12,986533,NA,6818
2016-03-13,1002310,NA,8022
2016-03-14,1013e3,NA,5480
2016-03-15,1018040,NA,2615
2016-03-16,1021200,NA,1691
2016-03-17,1024040,NA,1551
2016-03-18,1026260,NA,1236
2016-03-19,1027530,NA,780
2016-03-20,1029110,NA,940
2016-03-21,1033240,NA,2161
2016-03-22,1033240,NA,76
2016-03-23,1038480,NA,2768
2016-03-24,1039440,NA,635
2016-03-25,1041190,NA,1054
2016-03-26,1042140,NA,669
2016-03-27,1043260,NA,755
2016-03-28,1043420,NA,283
2016-03-29,1043900,NA,487
2016-03-30,1044220,NA,442
